fips,crime_rate_per_100000,EDITION,PART,IDNO,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,INDEX,MODINDX,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population
5459,281.8532819,1,4,3056,26564,24660,11,5,100.0,73,294,3,2,5,63,86,177,31,1,25900
5461,270.841074,1,4,3057,98531,91767,12,6,100.0,277,2054,3,22,43,209,400,1580,74,10,102274
5463,170.5851813,1,4,3058,13333,13534,5,4,100.0,23,140,0,2,3,18,39,93,8,0,13483
5465,142.8734713,1,4,3059,17535,16404,6,3,100.0,25,236,0,4,1,20,96,117,23,0,17498
5467,793.3756981,1,4,3060,26269,24215,9,5,100.0,206,413,1,7,2,196,86,308,19,16,25965
5469,706.6572141,1,4,3061,44521,44247,12,10,93.2421,309,1142,0,24,46,240,322,764,56,4,43727
5471,66.92544505,1,4,3062,7673,0,5,2,100.0,5,52,0,0,0,5,36,13,3,1,7471
5473,39.59350666,1,4,3063,7611,5750,6,3,100.0,3,403,0,0,0,3,386,16,1,0,7577
5475,276.8485408,1,4,3064,8786,7724,6,2,58.3333,24,71,0,2,1,21,26,43,2,1,8669
5477,268.7616291,1,4,3065,33724,32287,11,7,100.0,91,313,1,8,4,78,97,188,28,4,33859
5479,321.270962,1,4,3066,54841,55025,10,7,100.0,182,843,1,8,9,164,157,655,31,1,56650
5481,470.6150977,1,4,3067,79129,77543,12,7,100.0,371,3312,9,36,99,227,1054,2126,132,14,78833
5483,435.1521333,1,4,3068,29466,29466,6,3,100.0,128,691,2,14,5,107,158,508,25,7,29415
5485,158.8404646,1,4,3069,10295,10295,7,5,100.0,16,109,0,3,1,12,30,65,14,2,10073
5487,204.6943231,1,4,3070,14858,14858,6,4,100.0,30,197,0,4,0,26,37,148,12,2,14656
5489,154.8330015,1,4,3071,13867,13867,6,4,100.0,21,278,0,1,4,16,102,171,5,0,13563
5491,53.02539327,1,4,3072,16916,16916,6,4,100.0,9,46,0,0,2,7,14,28,4,0,16973
5493,129.1618829,1,4,3073,7021,7021,6,4,100.0,9,44,0,1,0,8,13,29,2,0,6968
5495,211.2284603,1,4,3074,8291,9121,6,5,100.0,19,140,0,1,0,18,46,91,3,3,8995
5497,32.43462396,1,4,3075,24323,24323,7,4,82.5813,8,392,1,0,1,6,87,297,8,0,24665
5499,265.4632333,1,4,3076,38237,41425,9,7,97.689,110,990,2,10,14,84,300,629,61,10,41437
5511,14.97342218,1,4,3087,13574,10799,3,2,100.0,2,33,0,1,0,1,11,20,2,0,13357
5513,221.743951,1,4,3088,15544,14195,3,2,100.0,34,411,0,2,2,30,137,236,38,2,15333
5515,128.9880485,1,4,3089,35830,49617,4,7,100.0,64,589,0,8,7,49,102,469,18,0,49617
5517,131.4705696,1,4,3090,60947,62939,6,7,100.0,83,1052,0,16,7,60,242,777,33,9,63132
5519,288.8920988,1,4,3091,36023,34831,3,4,100.0,100,275,0,0,1,99,80,177,18,4,34615
5521,146.505922,1,4,3092,57300,57055,7,7,100.0,83,936,0,15,3,65,224,685,27,4,56653
5523,12.19735317,1,4,3093,16757,5948,2,1,41.6667,2,192,0,0,0,2,19,168,5,0,16397
5525,220.2224188,1,4,3094,497671,496358,24,24,99.7306,1123,13077,9,149,291,675,2364,10343,370,57,509939
5527,76.97183736,1,4,3095,83918,88888,10,11,100.0,68,1370,1,12,6,49,248,1096,26,8,88344
5529,71.69486665,1,4,3096,27891,27891,2,2,100.0,20,324,1,2,0,17,41,275,8,2,27896
5531,216.4650124,1,4,3097,44218,44218,3,3,100.0,95,1650,1,11,22,61,359,1199,92,23,43887
5533,133.7201396,1,4,3098,44084,44084,4,4,78.3744,59,746,0,6,1,52,126,588,32,1,44122
5535,159.7034642,1,4,3099,102133,100135,5,5,100.0,162,2131,4,31,18,109,445,1636,50,5,101438
5537,243.3628319,1,4,3100,4451,4451,1,1,100.0,11,107,0,0,0,11,43,61,3,0,4520
5539,222.0082909,1,4,3101,98840,102340,7,8,99.9128,226,1785,0,41,13,172,251,1480,54,6,101798
5541,76.70392286,1,4,3102,9260,9260,2,2,100.0,7,211,0,3,1,3,44,156,11,0,9126
5543,146.8601304,1,4,3103,51563,51341,8,8,100.0,75,993,0,11,1,63,172,798,23,3,51069
5545,72.79590186,1,4,3104,36535,36985,5,6,100.0,27,679,0,3,1,23,100,540,39,3,37090
5547,58.01993776,1,4,3105,19232,17924,5,4,100.0,11,331,0,3,1,7,50,270,11,2,18959
5549,172.638848,1,4,3106,23483,23659,6,7,97.9839,41,260,0,8,2,31,62,184,14,1,23749
5551,441.7261298,1,4,3107,5909,5909,2,2,93.4634,26,80,0,0,0,26,21,59,0,0,5886
5553,106.5684945,1,4,3108,20618,20618,2,2,100.0,22,370,0,6,3,13,59,301,10,0,20644
5555,121.8805098,1,4,3109,89376,82367,7,7,100.0,103,1417,1,13,3,86,256,1130,31,11,84509
5557,192.1121031,1,4,3110,26790,25340,4,3,100.0,51,457,0,8,1,42,106,337,14,0,26547
5559,199.0975041,1,4,3111,167716,167722,6,7,100.0,334,4346,2,47,117,168,910,3288,148,21,167757
5561,43.89173372,1,4,3112,20642,20642,4,4,100.0,9,261,1,3,0,5,30,222,9,1,20505
5563,170.5037142,1,4,3113,115868,115868,8,8,100.0,199,3164,4,27,43,125,650,2437,77,3,116713
5565,35.7867112,1,4,3114,16812,16858,3,5,100.0,6,203,0,1,2,3,33,156,14,1,16766
5567,163.4738186,1,4,3115,19837,19837,2,2,95.1017,32,813,0,0,0,32,174,604,35,0,19575
5569,156.8818854,1,4,3116,28675,28675,3,3,100.0,45,533,0,6,0,39,170,345,18,5,28684
5571,136.3850522,1,4,3117,81496,81183,7,7,100.0,110,1557,0,8,14,88,252,1258,47,4,80654
5573,121.8467537,1,4,3118,132642,132809,10,11,96.6373,165,2234,2,28,24,111,485,1678,71,34,135416
5575,52.87190579,1,4,3119,41763,41763,4,4,100.0,22,1079,1,8,10,3,462,568,49,8,41610
5577,65.89351608,1,4,3120,15479,15479,6,6,99.7464,10,226,0,1,1,8,54,154,18,5,15176
5578,46.32846884,1,4,3121,4359,4359,1,1,100.0,2,59,0,0,0,2,31,25,3,0,4317
5579,912.6349471,1,4,3122,955057,954968,21,21,99.4991,8725,43401,103,276,3426,4919,8744,29434,5223,351,956023
5581,101.5497373,1,4,3123,45165,44688,5,4,100.0,46,1123,0,4,3,39,175,917,31,7,45298
5583,21.43737607,1,4,3124,37564,37564,4,4,100.0,8,785,0,0,3,5,249,502,34,10,37318
5585,173.7229959,1,4,3125,35893,35893,5,5,100.0,62,712,0,6,0,56,148,545,19,1,35689
5587,161.3573983,1,4,3126,189480,178369,9,10,100.0,291,2979,1,34,31,225,419,2495,65,8,180345
5589,53.9894778,1,4,3127,86701,86790,7,8,99.9231,47,906,0,1,6,40,165,727,14,1,87054
5591,81.52173913,1,4,3128,7431,7431,3,3,100.0,6,85,0,3,0,3,28,53,4,1,7360
5593,190.3553299,1,4,3129,44145,40967,5,5,100.0,78,734,2,4,4,68,138,572,24,7,40976
5595,216.211243,1,4,3130,44153,44153,5,5,100.0,94,541,1,10,4,79,151,359,31,0,43476
5597,105.1435067,1,4,3131,70264,70264,4,4,100.0,74,1193,0,14,4,56,222,947,24,3,70380
5599,79.69859441,1,4,3132,14030,14030,3,3,100.0,11,216,0,0,0,11,40,166,10,1,13802
5611,83.51893096,1,4,3160,7214,7214,4,4,100.0,6,143,0,3,0,3,20,115,8,0,7184
5613,163.422606,1,4,3161,41169,41169,3,3,100.0,67,1025,2,21,3,41,127,859,39,3,40998
5615,271.8189833,1,4,3162,13733,13733,2,2,100.0,37,214,0,0,1,36,66,146,2,0,13612
5617,144.4192284,1,4,3163,4869,4869,2,2,100.0,7,84,0,0,0,7,14,68,2,1,4847
5619,162.2624015,1,4,3164,8768,8768,2,2,100.0,14,157,1,1,0,12,13,141,3,2,8628
5621,236.9297248,1,4,3165,94026,94026,3,3,100.0,227,2716,2,33,27,165,425,2147,144,16,95809
5623,59.89980396,1,4,3166,18334,17235,6,4,97.8358,11,131,0,0,0,11,38,89,4,1,18364
5625,187.7168933,1,4,3167,77475,77475,4,4,100.0,152,2346,3,7,12,130,474,1739,133,23,80973
5627,118.0637544,1,4,3168,2527,2527,2,2,100.0,3,8,0,0,0,3,1,6,1,0,2541
5629,246.3475553,1,4,3169,29007,29007,3,3,100.0,72,481,1,16,2,53,109,359,13,4,29227
5631,45.63605248,1,4,3170,8924,7742,3,2,100.0,4,89,0,1,0,3,23,61,5,0,8765
5633,93.88412017,1,4,3171,29664,29664,3,3,100.0,28,512,1,4,2,21,108,386,18,3,29824
5635,119.510009,1,4,3172,10293,10293,1,1,100.0,12,83,0,1,0,11,22,57,4,1,10041
5637,433.2736477,1,4,3173,44817,44817,3,3,100.0,196,952,3,18,5,170,120,794,38,7,45237
5639,179.6299623,1,4,3174,21861,9851,2,1,100.0,40,237,0,4,1,35,28,203,6,0,22268
5641,33.22889965,1,4,3175,21290,19157,3,2,100.0,7,382,0,3,0,4,37,333,12,0,21066
5643,59.08070424,1,4,3176,8610,8610,2,2,100.0,5,47,0,0,0,5,2,44,1,0,8463
5645,69.85191394,1,4,3177,7211,6111,3,2,100.0,5,91,0,1,0,4,10,76,5,0,7158
6101,333.508128,1,4,238,95799,95799,4,4,100.0,318,2832,5,26,45,242,758,1786,288,15,95350
6103,561.3968314,1,4,239,64191,64191,5,5,100.0,354,1507,3,17,36,298,451,896,160,5,63057
6105,156.1570494,1,4,240,13850,13850,3,3,100.0,21,187,4,3,1,13,81,82,24,0,13448
6107,462.4094173,1,4,241,453419,453419,14,12,100.0,2100,15393,33,115,412,1540,4364,9194,1835,39,454143
6109,194.8992093,1,4,242,55463,55463,4,3,100.0,105,1190,0,15,16,74,468,637,85,25,53874
6111,198.1848932,1,4,243,839484,839484,21,18,100.0,1664,15921,21,100,617,926,3113,11404,1404,128,839620
6113,271.7590533,1,4,244,203928,203928,10,8,100.0,556,5956,0,71,162,323,1312,4122,522,106,204593
6115,388.6010363,1,4,245,73251,73251,6,5,100.0,285,2013,6,27,39,213,612,1148,253,27,73340
8101,501.7002063,1,4,298,162766,162766,4,3,100.0,810,7411,8,22,199,581,1962,4931,518,43,161451
8103,132.2168356,1,4,299,6876,6876,3,3,100.0,9,84,0,1,1,7,15,65,4,0,6807
8105,152.5036008,1,4,300,11901,12121,4,5,100.0,18,231,2,1,5,10,72,156,3,1,11803
8107,182.8775571,1,4,301,23560,22674,4,3,100.0,43,377,1,8,4,30,55,296,26,3,23513
8109,241.6237113,1,4,302,6534,6314,2,2,100.0,15,84,0,0,0,15,31,47,6,1,6208
8111,144.5086705,1,4,303,702,702,1,1,100.0,1,16,0,0,0,1,4,11,1,0,692
8113,78.14535035,1,4,304,7594,7594,2,2,100.0,6,115,0,0,0,6,8,105,2,0,7678
8115,211.8644068,1,4,305,2397,2397,1,1,100.0,5,20,0,0,0,5,6,13,1,0,2360
8117,129.1493595,1,4,306,28359,28359,6,6,100.0,37,859,1,17,2,17,68,771,20,7,28649
